"Freq [GHz]","dB(S(port1:1,port1:1)) []"
4.11,-1.3471372486386
4.12,-1.36947497156833
4.13,-1.39468496045595
4.14,-1.42289999692466
4.15,-1.45427499503816
4.16,-1.48898864825753
4.17,-1.52724540450467
4.18,-1.5692778022075
4.19,-1.61534920766965
4.2,-1.665757002511
4.21,-1.72083627951741
4.22,-1.78096411631077
4.23,-1.84656450916755
4.24,-1.91811406451916
4.25,-1.99614856372858
4.26,-2.08127053838774
4.27,-2.17415801958538
4.28,-2.27557465665481
4.29,-2.38638144059995
4.3,-2.50755031718638
4.31,-2.64018003805526
4.32,-2.78551468016538
4.33,-2.94496537162701
4.34,-3.12013590618335
4.35,-3.31285312496628
4.36,-3.52520321629279
4.37,-3.75957546785757
4.38,-4.01871555524268
